epoch,train loss,train acc,test acc
1,4.694915826320648,0.446875,0.5075
2,4.408265386819839,0.52125,0.565
3,4.305246102809906,0.5453125,0.52875
4,4.221411031484604,0.5803125,0.6
5,4.133686428070068,0.6234375,0.585
6,4.034749667644501,0.6428125,0.615
7,3.953619384765625,0.6503125,0.565
8,3.888938091993332,0.664375,0.66625
9,3.8688034427165987,0.6690625,0.6775
10,3.8361249947547913,0.6778125,0.685
11,4.022687604427338,0.63875,0.57125
12,3.9603004014492034,0.6578125,0.62625
13,3.9237015986442567,0.6646875,0.645
14,3.89692191362381,0.67625,0.57
15,3.7765832316875456,0.6953125,0.52875
16,3.7770738220214843,0.6965625,0.59375
17,3.7504485476017,0.70875,0.59875
18,3.7166583359241487,0.7228125,0.7025
19,3.6644352436065675,0.7303125,0.695
20,3.614488754272461,0.7346875,0.69
21,3.59084743976593,0.739375,0.7075
22,3.5354715943336488,0.749375,0.71875
23,3.4928690564632414,0.7634375,0.7625
24,3.4486147141456605,0.7625,0.74625
25,3.440973560810089,0.773125,0.7525
26,3.3745424056053164,0.78125,0.7625
27,3.3895282530784607,0.7928125,0.7625
28,3.353895891904831,0.8021875,0.77
29,3.3647402131557467,0.7915625,0.7725
30,3.354336618185043,0.79875,0.7725
