epoch,train loss,train acc,test acc
1,1.1604899556879054,0.5209129108464654,0.5833333337560613
2,0.8941595235610391,0.6565603515043615,0.648936170212766
3,0.7478643214320116,0.7186783807162933,0.7216312060964868
4,0.6258670437463465,0.7715813600443264,0.7273936170212766
5,0.5569702323107796,0.8043353707395136,0.6861702127659575
6,0.4921199525581962,0.826346447761046,0.7841312060964868
7,0.4323115949643487,0.8612967914438503,0.8656914893617021
8,0.3846756581635399,0.875,0.875
9,0.3640414152872116,0.8836898395721925,0.8670212765957447
10,0.3463275859700167,0.8896103899746655,0.8776595744680851
